Well,OD,Time_h,Type,Concentration,Sample,Antibiotic,Lineage,Experiment,Plate,blank_mean,OD_blanked,sample_group,replicate
F9,0.095,0,sample,4,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.004666666666666666,M-lines,1
F10,0.09,0,sample,8,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,1
F11,0.092,0,sample,16,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,M-lines,1
F12,0.092,0,sample,32,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,M-lines,1
G1,0.092,0,sample,0.002,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,M-lines,2
G2,0.089,0,sample,0.006,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,2
G3,0.09,0,sample,0.016,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,2
G4,0.091,0,sample,0.047,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,2
G5,0.091,0,sample,0.125,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,2
G6,0.089,0,sample,0.38,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,2
G7,0.09,0,sample,1,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,2
G8,0.09,0,sample,2,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,2
G9,0.09,0,sample,4,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,2
G10,0.092,0,sample,8,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,M-lines,2
G11,0.09,0,sample,16,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,2
G12,0.093,0,sample,32,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,M-lines,2
H1,0.091,0,sample,0.002,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
H2,0.09,0,sample,0.006,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,3
H3,0.093,0,sample,0.016,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,M-lines,3
H4,0.091,0,sample,0.047,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
H5,0.091,0,sample,0.125,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
H6,0.091,0,sample,0.38,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
H7,0.092,0,sample,1,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,M-lines,3
H8,0.095,0,sample,2,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.004666666666666666,M-lines,3
H9,0.09,0,sample,4,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,3
H10,0.091,0,sample,8,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
H11,0.09,0,sample,16,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,M-lines,3
H12,0.095,0,sample,32,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.004666666666666666,M-lines,3
A1,0.088,16,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.00233333333333334,NA,NA
A2,0.093,16,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,NA,NA
A3,0.09,16,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,NA,NA
A4,0.094,16,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0036666666666666653,NA,NA
A5,0.094,16,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0036666666666666653,NA,NA
A6,0.28,16,sample,0,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.1896666666666667,M-lines,1
A7,0.258,16,sample,0,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.16766666666666669,M-lines,2
A8,0.267,16,sample,0,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.1766666666666667,M-lines,3
A9,0.093,16,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0026666666666666644,NA,NA
A10,0.295,16,sample,0,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.20466666666666666,M-lines,1
A11,0.293,16,sample,0,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.20266666666666666,M-lines,2
A12,0.264,16,sample,0,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.1736666666666667,M-lines,3
B1,0.349,16,sample,0.002,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.25866666666666666,N-lines,1
