Well,Type,Concentration,Sample,Antibiotic,OD_t0,OD_t16,OD_t24,Plate,Experiment,OD_t0_blanked,OD_t16_blanked,OD_t24_blanked,growth_16h,growth_24h,well_type
E8,sample,2,M1,MRP,0.09,0.167,0.089,Plate1,Exp1,-3.3333333333333826e-4,0.07666666666666667,0,0.07700000000000001,3.3333333333333826e-4,treatment
E9,sample,4,M1,MRP,0.091,0.169,0.09,Plate1,Exp1,6.666666666666626e-4,0.07866666666666668,0.0010000000000000009,0.07800000000000001,3.3333333333333826e-4,treatment
E10,sample,8,M1,MRP,0.091,0.166,0.091,Plate1,Exp1,6.666666666666626e-4,0.07566666666666667,0.0020000000000000018,0.07500000000000001,0.0013333333333333391,treatment
E11,sample,16,M1,MRP,0.091,0.143,0.091,Plate1,Exp1,6.666666666666626e-4,0.05266666666666665,0.0020000000000000018,0.05199999999999999,0.0013333333333333391,treatment
E12,sample,32,M1,MRP,0.091,0.095,0.091,Plate1,Exp1,6.666666666666626e-4,0.004666666666666666,0.0020000000000000018,0.0040000000000000036,0.0013333333333333391,treatment
F1,sample,0.002,M2,MRP,0.09,0.511,0.539,Plate1,Exp1,-3.3333333333333826e-4,0.4206666666666667,0.45000000000000007,0.42100000000000004,0.4503333333333334,treatment
F2,sample,0.006,M2,MRP,0.093,0.873,0.834,Plate1,Exp1,0.0026666666666666644,0.7826666666666666,0.745,0.7799999999999999,0.7423333333333333,treatment
F3,sample,0.016,M2,MRP,0.093,0.704,0.634,Plate1,Exp1,0.0026666666666666644,0.6136666666666666,0.545,0.6109999999999999,0.5423333333333333,treatment
F4,sample,0.047,M2,MRP,0.09,0.96,0.746,Plate1,Exp1,-3.3333333333333826e-4,0.8696666666666666,0.657,0.8699999999999999,0.6573333333333333,treatment
F5,sample,0.125,M2,MRP,0.094,0.702,0.361,Plate1,Exp1,0.0036666666666666653,0.6116666666666666,0.272,0.6079999999999999,0.26833333333333337,treatment
F6,sample,0.38,M2,MRP,0.09,0.166,0.09,Plate1,Exp1,-3.3333333333333826e-4,0.07566666666666667,0.0010000000000000009,0.07600000000000001,0.0013333333333333391,treatment
F7,sample,1,M2,MRP,0.09,0.167,0.09,Plate1,Exp1,-3.3333333333333826e-4,0.07666666666666667,0.0010000000000000009,0.07700000000000001,0.0013333333333333391,treatment
F8,sample,2,M2,MRP,0.091,0.176,0.091,Plate1,Exp1,6.666666666666626e-4,0.08566666666666665,0.0020000000000000018,0.08499999999999999,0.0013333333333333391,treatment
F9,sample,4,M2,MRP,0.095,0.175,0.09,Plate1,Exp1,0.004666666666666666,0.08466666666666665,0.0010000000000000009,0.07999999999999999,-0.0036666666666666653,treatment
F10,sample,8,M2,MRP,0.09,0.17,0.09,Plate1,Exp1,-3.3333333333333826e-4,0.07966666666666668,0.0010000000000000009,0.08000000000000002,0.0013333333333333391,treatment
F11,sample,16,M2,MRP,0.092,0.146,0.091,Plate1,Exp1,0.0016666666666666635,0.055666666666666656,0.0020000000000000018,0.05399999999999999,3.3333333333333826e-4,treatment
F12,sample,32,M2,MRP,0.092,0.092,0.093,Plate1,Exp1,0.0016666666666666635,0.0016666666666666635,0.0040000000000000036,0,0.00233333333333334,treatment
G1,sample,0.002,M2,MRP,0.092,0.512,0.682,Plate1,Exp1,0.0016666666666666635,0.4216666666666667,0.5930000000000001,0.42000000000000004,0.5913333333333334,treatment
G2,sample,0.006,M2,MRP,0.089,0.644,0.598,Plate1,Exp1,-0.0013333333333333391,0.5536666666666666,0.509,0.5549999999999999,0.5103333333333333,treatment
G3,sample,0.016,M2,MRP,0.09,0.565,0.508,Plate1,Exp1,-3.3333333333333826e-4,0.4746666666666666,0.41900000000000004,0.475,0.4193333333333334,treatment
G4,sample,0.047,M2,MRP,0.091,0.817,0.513,Plate1,Exp1,6.666666666666626e-4,0.7266666666666666,0.42400000000000004,0.7259999999999999,0.4233333333333334,treatment
G5,sample,0.125,M2,MRP,0.091,0.284,0.202,Plate1,Exp1,6.666666666666626e-4,0.19366666666666665,0.11300000000000002,0.193,0.11233333333333335,treatment
G6,sample,0.38,M2,MRP,0.089,0.163,0.09,Plate1,Exp1,-0.0013333333333333391,0.07266666666666667,0.0010000000000000009,0.07400000000000001,0.00233333333333334,treatment
G7,sample,1,M2,MRP,0.09,0.166,0.091,Plate1,Exp1,-3.3333333333333826e-4,0.07566666666666667,0.0020000000000000018,0.07600000000000001,0.00233333333333334,treatment
G8,sample,2,M2,MRP,0.09,0.169,0.091,Plate1,Exp1,-3.3333333333333826e-4,0.07866666666666668,0.0020000000000000018,0.07900000000000001,0.00233333333333334,treatment
G9,sample,4,M2,MRP,0.09,0.166,0.09,Plate1,Exp1,-3.3333333333333826e-4,0.07566666666666667,0.0010000000000000009,0.07600000000000001,0.0013333333333333391,treatment
G10,sample,8,M2,MRP,0.092,0.154,0.091,Plate1,Exp1,0.0016666666666666635,0.06366666666666666,0.0020000000000000018,0.062,3.3333333333333826e-4,treatment
G11,sample,16,M2,MRP,0.09,0.095,0.091,Plate1,Exp1,-3.3333333333333826e-4,0.004666666666666666,0.0020000000000000018,0.0050000000000000044,0.00233333333333334,treatment
G12,sample,32,M2,MRP,0.093,0.091,0.091,Plate1,Exp1,0.0026666666666666644,6.666666666666626e-4,0.0020000000000000018,-0.0020000000000000018,-6.666666666666626e-4,treatment
H1,sample,0.002,M2,MRP,0.091,0.449,0.507,Plate1,Exp1,6.666666666666626e-4,0.3586666666666667,0.41800000000000004,0.35800000000000004,0.4173333333333334,treatment
