Time_h,Well,OD,blank_mean,Type,Concentration,Sample,Antibiotic,Lineage,OD_blanked,Plate,sample_group,replicate
63.46055555555556,A9,0.091,0.09266666666666666,empty,NA,NA,NA,NA,-0.0016666666666666635,Plate1,NA,NA
63.46055555555556,A10,0.73,0.09266666666666666,sample,0,T2,TOB,ancestor,0.6373333333333333,Plate1,T-lines,1
63.46055555555556,A11,0.725,0.09266666666666666,sample,0,T2,TOB,ancestor,0.6323333333333333,Plate1,T-lines,2
63.46055555555556,A12,0.759,0.09266666666666666,sample,0,T2,TOB,ancestor,0.6663333333333333,Plate1,T-lines,3
63.46055555555556,B1,0.605,0.09266666666666666,sample,0.016,T2,TOB,evolved,0.5123333333333333,Plate1,T-lines,1
63.46055555555556,B2,0.531,0.09266666666666666,sample,0.047,T2,TOB,evolved,0.43833333333333335,Plate1,T-lines,1
63.46055555555556,B3,0.433,0.09266666666666666,sample,0.125,T2,TOB,evolved,0.3403333333333333,Plate1,T-lines,1
63.46055555555556,B4,0.393,0.09266666666666666,sample,0.38,T2,TOB,evolved,0.30033333333333334,Plate1,T-lines,1
63.46055555555556,B5,0.288,0.09266666666666666,sample,1,T2,TOB,evolved,0.1953333333333333,Plate1,T-lines,1
63.46055555555556,B6,0.096,0.09266666666666666,sample,3,T2,TOB,evolved,0.003333333333333341,Plate1,T-lines,1
63.46055555555556,B7,0.094,0.09266666666666666,sample,8,T2,TOB,evolved,0.0013333333333333391,Plate1,T-lines,1
63.46055555555556,B8,0.095,0.09266666666666666,sample,16,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,1
63.46055555555556,B9,0.094,0.09266666666666666,sample,32,T2,TOB,evolved,0.0013333333333333391,Plate1,T-lines,1
63.46055555555556,B10,0.097,0.09266666666666666,sample,64,T2,TOB,evolved,0.004333333333333342,Plate1,T-lines,1
63.46055555555556,B11,0.105,0.09266666666666666,sample,128,T2,TOB,evolved,0.012333333333333335,Plate1,T-lines,1
63.46055555555556,B12,0.095,0.09266666666666666,sample,256,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,1
63.46055555555556,C1,0.583,0.09266666666666666,sample,0.016,T2,TOB,evolved,0.4903333333333333,Plate1,T-lines,2
63.46055555555556,C2,0.506,0.09266666666666666,sample,0.047,T2,TOB,evolved,0.41333333333333333,Plate1,T-lines,2
63.46055555555556,C3,0.348,0.09266666666666666,sample,0.125,T2,TOB,evolved,0.2553333333333333,Plate1,T-lines,2
63.46055555555556,C4,0.352,0.09266666666666666,sample,0.38,T2,TOB,evolved,0.2593333333333333,Plate1,T-lines,2
63.46055555555556,C5,0.225,0.09266666666666666,sample,1,T2,TOB,evolved,0.13233333333333336,Plate1,T-lines,2
63.46055555555556,C6,0.096,0.09266666666666666,sample,3,T2,TOB,evolved,0.003333333333333341,Plate1,T-lines,2
63.46055555555556,C7,0.095,0.09266666666666666,sample,8,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,2
63.46055555555556,C8,0.095,0.09266666666666666,sample,16,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,2
63.46055555555556,C9,0.095,0.09266666666666666,sample,32,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,2
63.46055555555556,C10,0.097,0.09266666666666666,sample,64,T2,TOB,evolved,0.004333333333333342,Plate1,T-lines,2
63.46055555555556,C11,0.094,0.09266666666666666,sample,128,T2,TOB,evolved,0.0013333333333333391,Plate1,T-lines,2
63.46055555555556,C12,0.095,0.09266666666666666,sample,256,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,2
63.46055555555556,D1,0.579,0.09266666666666666,sample,0.016,T2,TOB,evolved,0.4863333333333333,Plate1,T-lines,3
63.46055555555556,D2,0.542,0.09266666666666666,sample,0.047,T2,TOB,evolved,0.44933333333333336,Plate1,T-lines,3
63.46055555555556,D3,0.444,0.09266666666666666,sample,0.125,T2,TOB,evolved,0.35133333333333333,Plate1,T-lines,3
63.46055555555556,D4,0.407,0.09266666666666666,sample,0.38,T2,TOB,evolved,0.3143333333333333,Plate1,T-lines,3
63.46055555555556,D5,0.255,0.09266666666666666,sample,1,T2,TOB,evolved,0.16233333333333333,Plate1,T-lines,3
63.46055555555556,D6,0.095,0.09266666666666666,sample,3,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,3
63.46055555555556,D7,0.095,0.09266666666666666,sample,8,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,3
63.46055555555556,D8,0.096,0.09266666666666666,sample,16,T2,TOB,evolved,0.003333333333333341,Plate1,T-lines,3
63.46055555555556,D9,0.096,0.09266666666666666,sample,32,T2,TOB,evolved,0.003333333333333341,Plate1,T-lines,3
63.46055555555556,D10,0.096,0.09266666666666666,sample,64,T2,TOB,evolved,0.003333333333333341,Plate1,T-lines,3
63.46055555555556,D11,0.096,0.09266666666666666,sample,128,T2,TOB,evolved,0.003333333333333341,Plate1,T-lines,3
63.46055555555556,D12,0.095,0.09266666666666666,sample,256,T2,TOB,evolved,0.00233333333333334,Plate1,T-lines,3
63.46055555555556,E1,0.752,0.09266666666666666,sample,0.016,T2,TOB,ancestor,0.6593333333333333,Plate1,T-lines,1
63.46055555555556,E2,0.716,0.09266666666666666,sample,0.047,T2,TOB,ancestor,0.6233333333333333,Plate1,T-lines,1
63.46055555555556,E3,0.555,0.09266666666666666,sample,0.125,T2,TOB,ancestor,0.4623333333333334,Plate1,T-lines,1
63.46055555555556,E4,0.096,0.09266666666666666,sample,0.38,T2,TOB,ancestor,0.003333333333333341,Plate1,T-lines,1
63.46055555555556,E5,0.095,0.09266666666666666,sample,1,T2,TOB,ancestor,0.00233333333333334,Plate1,T-lines,1
63.46055555555556,E6,0.093,0.09266666666666666,sample,3,T2,TOB,ancestor,3.3333333333333826e-4,Plate1,T-lines,1
